DATA DA COLETA,P1 - Entrada ETE,Pb - Saída do UASB Entrada do CBR,Pc - Saída do CBR Entrada dos decantadores,Pd - Saída dos decantadores Entrada no sistema de ozonização,P2 / P6 - Saída da ETE ,P3 - Arroio São João,P4 - Canal coleta esgoto Vila Otacília,P5 - Vertedor do Lago,ANAL. AMB.,OBSERVAÇÕES
2014-01-14,34.0,10.3,12.7,11.5,10.0,36.4,14.4,13.4,x,
2014-02-11,37.2,30.5,16.2,9.3,19.2,7.4,35.2,4.0,x,
2014-03-11,121.5,26.5,12.9,6.5,9.3,9.8,38.0,4.8,x,
2014-04-08,210.3,13.4,5.7,2.6,4.0,6.7,89.0,2.7,x,
2014-05-13,202.5,18.9,8.1,4.9,3.5,9.4,110.8,3.2,x,
2014-06-10,166.3,12.9,8.0,6.0,5.7,14.6,49.7,6.2,x,
2014-07-08,,,,,,,,,x,No mês de julho o Lab. de Análises Ambientais não realizou coleta. justificativa consta no laudo emitido. 
2014-08-12,74.5,12.0,20.6,11.9,12.5,5.9,19.8,6.8,x,
2014-09-09,123.3,11.7,6.1,2.9,4.2,6.9,27.0,4.9,x,Coleta realizada em 23/09/14
2014-10-07,131.5,12.5,8.0,3.9,4.8,9.4,17.7,11.1,x,
2014-11-11,70.7,17.8,6.9,10.6,4.5,8.7,21.9,14.6,x,
2014-12-09,101.0,10.5,7.6,5.3,3.2,11.7,35.2,9.9,x,
