DATAS DAS COLETAS ,P1 - Entrada ETE Unisinos,Pb - Saída do UASB Entrada do CBR,Pc - Saída do CBR Entrada dos decantadores,Pd - Saída dos decantadores,P2 / P6 - Saída ETE Unisinos,Resultado de P1/P2,P3 - Arroio São João,P4 - Canal coleta esgoto Vila Otacília,P5 - Vertedor do Lago,LAB. ANÁLISES AMBIENTAIS,OBSERVAÇÕES
2013-01-22,40.3,38.2,17.8,16.5,9.3,0.7692307692307692,18.0,78.4,14.2,x,
2013-02-14,100.7,39.9,89.5,19.5,116.2,-0.15392254220456802,20.8,40.3,18.9,x,
2013-03-06,242.8,99.6,46.1,40.0,4.1,0.9831136738056013,26.3,333.7,18.6,x,
2013-04-03,359.5,89.9,51.8,38.1,41.1,0.8856745479833101,20.3,230.1,23.3,x,
2013-05-08,356.2,134.8,100.4,64.1,42.6,0.8804042672655812,55.3,470.4,23.5,x,
2013-06-05,249.3,120.9,99.5,50.9,83.9,0.663457681508223,32.1,312.4,21.4,x,
2013-07-03,343.5,40.7,26.8,49.2,306.4,0.10800582241630285,11.1,168.5,22.5,x,
2013-08-07,371.2,88.1,77.8,77.8,12.8,0.9655172413793104,26.1,185.6,41.0,x,
2013-09-04,406.4,71.1,41.7,32.5,96.5,0.7625492125984252,31.0,82.5,11.2,x,
2013-10-02,188.0,29.0,39.0,26.0,24.0,0.8723404255319149,15.2,96.0,6.4,,
2013-11-06,,,,,,,,,,x,"À pedido do responsável da empresa Ecovisual, não foram realizadas coletas pelo Lab. Análises Ambientais no mês de novembro devido aos equipamentos da ETE terem sido submetidos para manutenção, pois estavam estragados."
2013-12-04,207.4,53.1,28.4,26.5,34.1,0.8355834136933462,31.5,248.4,13.7,x,
