DATAS DAS COLETAS ,P1 - Entrada ETE Unisinos,Pb - Saída do UASB Entrada do CBR,Pc - Saída do CBR Entrada dos decantadores,Pd - Saída dos decantadores,P2 / P6 - Saída ETE Unisinos,Resultado de P1/P2,P3 - Arroio São João,P4 - Canal coleta esgoto Vila Otacília,P5 - Vertedor do Lago,P7 - Rede Pluvial (trimestral),OBSERVAÇÕES
2019-01-02,105.0,,,,47.9,0.5438095238095237,24.4,138.0,29.8,34.4,
2019-02-06,37.0,,,,32.6,0.11891891891891893,21.7,160.8,20.5,,
2019-03-08,115.4,,,,42.8,0.6291161178509532,34.2,362.6,37.5,,
2019-04-03,642.4,,,,152.7,0.7622976338729763,53.3,602.0,55.3,263.4,
2019-05-03,86.7,,,,57.1,0.3414071510957324,14.8,147.9,19.4,,
2019-06-05,188.3,,,,192.7,-0.02336696760488577,23.2,157.7,10.1,,
2019-07-03,102.1,,,,99.9,0.021547502448579725,12.4,333.0,11.1,69.3,
2019-08-07,111.3,,,,79.4,0.2866127583108714,12.1,319.4,21.3,,
2019-09-04,111.0,,,,72.8,0.3441441441441442,20.9,337.4,29.3,,
2019-10-02,452.5,,,,69.9,0.845524861878453,33.6,931.8,26.0,44.8,
2019-11-06,269.0,43.8,26.9,27.4,44.7,0.8338289962825278,25.1,173.3,18.2,,
2019-12-04,246.0,95.1,58.2,40.2,40.2,0.8365853658536585,26.7,442.8,16.8,,
