DATA DA COLETA,P1,P2/P6,P1/P2,P3,P4,P5,LABORATÓRIO ALAC,OBSERVAÇÕES
2013-01-07,241960,29090.0,0.8797735162836833,23590,198630,"<100,0",x,
2013-02-05,613100,25900.0,0.9577556679171424,6200,214300,4100,x,
2013-03-05,2419600,36400.0,0.9849561911059679,2650,241960,2780,x,
2013-04-02,241960,92080.0,0.6194412299553645,2160,241960,250,x,
2013-05-07,1299700,104620.0,0.9195045010387013,141360,241960,3840,x,
2013-06-04,2419600,98500.0,0.9592907918664242,13400,2419600,4100,x,
2013-07-02,2419600,92080.0,0.9619441229955364,129970,648800,41600,x,
2013-08-06,2419600,119800.0,0.9504876839146966,9800,3100,1119900,x,
2013-09-03,2419600,261300.0,0.8920069432964126,141360,1553100,9870,x,
2013-10-01,2419600,261300.0,0.8920069432964126,141360,1553100,9870,x,
2013-11-05,241960,,1.0,57940,241960,34480,x,"Conforme a Declaração ALAC de 13/nov, não houve coleta de efluente no P2 devido a falta de vazão."
2013-12-03,24196000,67000.0,0.9972309472640106,118700,4352000,14800,x,
