DATA DA COLETA,P1 - Entrada ETE,P2/P6- Saída da ETE ,P1 - Média mês,P2/P6 - Média mês,ANAL. AMB.,OBSERVAÇÕES
2013-01-08,4.5,8.6,6.7,10.7,x,"Coletas no mês de janeiro, foram adiantadas para estes dias, devido as datas do cronograma estarem agendadas nas férias da laboratorista."
2013-01-09,8.9,12.8,,,x,
2013-02-05,12.4,17.3,24.425,14.425,x,
2013-02-14,15.6,4.7,,,x,
2013-02-19,17.5,6.4,,,x,
2013-02-26,52.2,29.3,,,x,
2013-03-05,24.8,42.0,44.925,42.675,x,
2013-03-12,20.8,38.6,,,x,
2013-03-19,64.1,53.4,,,x,
2013-03-26,70.0,36.7,,,x,
2013-04-02,41.0,29.2,30.399999999999995,33.9,x,
2013-04-09,,,,,x,Coleta não realizada.
2013-04-16,25.3,39.0,,,x,
2013-04-23,24.9,33.5,,,x,Coleta realizada em 26/04.
2013-05-08,29.4,45.9,53.65,57.875,x,
2013-05-15,52.6,47.0,,,x,
2013-05-21,63.5,62.1,,,x,
2013-05-28,69.1,76.5,,,x,
2013-06-05,40.8,47.0,52.724999999999994,42.5,x,
2013-06-11,43.5,35.0,,,x,
2013-06-18,,,,,x,"A correia do CBR estragou, não tendo como coletar amostra neste dia."
2013-06-25,49.4,23.5,,,x,
2013-06-28,77.2,64.5,,,x,"Teve mais uma coleta de Nitrogênio na mesma semana para suprir a amostragem que não houve do dia 18/06, pois o CBR estava estragado"
2013-07-02,53.6,56.6,36.925000000000004,29.799999999999997,x,
2013-07-09,40.6,32.4,,,x,
2013-07-16,26.1,18.6,,,x,
2013-07-23,27.4,11.6,,,x,
2013-07-30,,,,,x,"Não houve análise, pois a laboratorista e a bolsista não estavam presentes no laboratório neste dia."
2013-08-06,31.1,54.2,20.575,39.349999999999994,x,
2013-08-13,21.9,41.5,,,x,
2013-08-20,19.1,45.5,,,x,
2013-08-27,10.2,16.2,,,x,
2013-09-03,29.7,41.9,25.725,34.575,x,
2013-09-10,29.5,38.5,,,x,
2013-09-17,24.6,14.3,,,x,
2013-09-24,19.1,43.6,,,x,
2013-10-01,33.8,53.6,40.0,34.325,x,
2013-10-08,28.4,43.2,,,x,
2013-10-16,57.9,17.4,,,x,
2013-10-22,39.9,23.1,,,x,
2013-10-29,,,,,x,As amostras P1 e P2 de 29/10/13 não tiveram resultado pois estragou CBR.
2013-11-05,,,,,x,"À pedido do responsável da empresa Ecovisual, não foram realizadas coletas pelo Lab. Análises Ambientais no mês de novembro devido aos equipamentos da ETE terem sido submetidos para manutenção, pois estavam estragados."
2013-11-12,,,,,x,
2013-11-19,,,,,x,
2013-11-26,,,,,x,
2013-12-03,32.1,34.4,31.2,20.2,x,
2013-12-10,28.5,12.8,,,x,
2013-12-17,33.0,13.4,,,x,
