DATA DA COLETA,P1 - Entrada ETE Unisinos,Pb - Saída do UASB Entrada do CBR,Pc - Saída do CBR Entrada dos decantadores,Pd - Saída dos decantadores Entrada no sistema de ozonização,P2 / P6  - Saída da ETE Unisinos,P3 - Arroio São João,P4 - Canal coleta esgoto Vila Otacília,P5 - Vertedor do Lago,ANAL. AMB.,OBSERVAÇÕES
2013-01-22,,,,,,,,,x,"As análises de DBO, SS e OG não foram realizadas em janeiro devido as férias da técnica do Lab. de Análise Ambiental"
2013-02-05,10.0,10.0,10.0,10.0,10.0,14.0,10.0,10.4,X,
2013-03-12,19.4,10.0,10.0,10.0,15.6,12.2,14.8,10.0,X,
2013-04-09,,,,,,,,,X,"Neste mês foi solicitado pela Prof. Luciana Gomes (CO) análises extras para Nitrogênio Amoniacal, pH e Alcalinidade Total então devido a grande demanda de análises que a laboratorista realiza não houve análise para este parâmetro."
2013-05-14,19.1,27.1,14.7,15.9,10.0,18.2,34.5,20.8,X,
2013-06-11,46.3,12.7,10.0,10.0,10.0,10.0,22.8,10.0,X,
2013-07-09,21.1,12.5,14.5,13.1,10.0,10.0,30.1,10.0,X,
2013-08-13,26.6,19.5,20.9,19.8,11.4,12.8,21.3,18.9,X,
2013-09-10,28.4,14.9,22.8,15.9,13.1,13.9,21.9,10.0,X,
2013-10-08,28.3,21.0,13.5,11.1,12.2,19.9,31.7,12.6,X,
2013-11-12,,,,,,,,,X,"À pedido do responsável da empresa Ecovisual, não foram realizadas coletas pelo Lab. Análises Ambientais no mês de novembro devido aos equipamentos da ETE terem sido submetidos para manutenção, pois estavam estragados."
2013-12-10,27.2,16.8,21.3,17.5,10.0,18.2,43.7,17.4,X,
